Johnny Cueto,1,cuetojo01,2014,NL,2.25,243.7,20,0.252,169,22,65,242,2,1,15,961,69,7,1
David Price,1,priceda01,2014,AL,3.26,248.3,15,0.269,230,25,38,271,1,2,5,1009,100,4,3
James Shields,1,shielja02,2013,AL,3.15,228.7,13,0.207,215,20,68,196,0,11,8,946,82,6,7
Adam Wainwright,1,wainwad01,2013,NL,2.94,241.7,19,0.229,223,15,35,219,2,5,6,956,83,13,2
Justin Verlander,1,verlaju01,2012,AL,2.64,238.3,17,0.250,192,19,60,239,2,2,5,956,81,4,3
Chris Carpenter,1,carpech01,2011,NL,3.45,237.3,11,0.192,243,16,55,191,5,3,6,996,98,11,3
Justin Verlander,1,verlaju01,2009,AL,3.45,240.0,19,0.274,219,20,63,269,5,8,6,982,99,6,4
Adam Wainwright,1,wainwad01,2009,NL,2.63,233.0,19,0.219,216,17,66,212,1,7,3,970,75,10,5
Johan Santana,1,santajo01,2008,NL,2.53,234.3,16,0.214,206,23,63,206,5,9,4,964,74,9,1
Roy Halladay,1,hallaro01,2008,AL,2.78,246.0,20,0.209,220,18,39,206,3,4,12,987,88,5,4
Brandon Webb,1,webbbr01,2007,NL,3.01,236.3,18,0.199,209,12,72,194,6,3,5,975,91,9,6
Bronson Arroyo,1,arroybr01,2006,NL,3.29,240.7,14,0.185,222,31,64,184,7,6,5,992,98,9,2
Mark Buehrle,1,buehrma01,2005,AL,3.12,236.7,16,0.153,240,20,40,149,4,2,4,971,99,7,4
Livan Hernandez,1,hernali01,2005,NL,3.98,246.3,15,0.138,268,25,84,147,14,3,13,1065,116,15,9
Livan Hernandez,1,hernali01,2004,NL,3.60,255.0,11,0.177,234,26,83,186,9,1,10,1053,105,11,4
Mark Buehrle,1,buehrma01,2004,AL,3.89,245.3,16,0.162,257,33,51,165,2,0,8,1016,119,4,6
Livan Hernandez,1,hernali01,2003,NL,3.20,233.3,15,0.184,225,27,57,178,3,6,10,967,92,6,4
Roy Halladay,1,hallaro01,2002,AL,2.93,239.3,19,0.169,223,10,62,168,6,4,7,993,93,9,2
Freddy Garcia,1,garcifr02,2001,AL,3.05,238.7,18,0.168,199,16,69,163,6,3,5,971,88,8,5
Curt Schilling,1,schilcu01,2001,NL,2.98,256.7,22,0.287,237,37,39,293,0,4,1,1021,86,8,5
Jon Lieber,1,liebejo01,2000,NL,4.41,251.0,12,0.183,248,36,54,192,3,2,10,1047,130,9,7
Mike Mussina,1,mussimi01,2000,AL,3.79,237.7,11,0.213,236,28,46,210,0,3,3,987,105,8,6
David Wells,1,wellsda01,1999,AL,4.82,231.7,17,0.171,246,32,62,169,2,1,6,987,132,0,0
Curt Schilling,1,schilcu01,1998,NL,3.25,268.7,15,0.275,236,23,61,300,3,12,6,1089,101,0,0
Scott Erickson,1,ericksc01,1998,AL,4.01,251.3,16,0.169,284,23,69,186,4,4,13,1102,125,0,0
John Smoltz,1,smoltjo01,1997,NL,3.02,256.0,15,0.231,234,21,63,241,9,10,1,1043,97,0,0
