Phil Hughes,1,hugheph01,2014,AL,3.52,209.7,16,0.218,11.625,221,16,16,186,1,1,5,855,88,3,7
Cliff Lee,1,leecl02,2013,NL,2.87,222.7,14,0.253,6.938,193,22,32,222,0,1,4,876,77,5,3
David Price,1,priceda01,2013,AL,3.33,186.7,10,0.204,5.593,178,16,27,151,0,6,3,740,78,1,2
CC Sabathia,1,sabatcc01,2012,AL,3.38,200.0,15,0.236,4.477,184,22,44,197,2,4,8,833,89,4,3
Cliff Lee,1,leecl02,2012,NL,3.16,211.0,6,0.244,7.393,207,26,28,207,0,4,0,847,79,3,4
Dan Haren,1,harenda01,2011,AL,3.17,238.3,16,0.201,5.818,211,20,33,192,1,6,5,953,91,12,5
Roy Halladay,1,hallaro01,2011,NL,2.35,233.7,19,0.236,6.286,208,10,35,220,4,2,4,933,65,15,7
Cliff Lee,1,leecl02,2010,AL,3.18,212.3,12,0.219,10.278,195,16,18,185,2,3,1,843,84,4,6
Roy Halladay,1,hallaro01,2009,AL,2.79,239.0,17,0.216,5.943,234,22,35,208,0,2,5,963,82,1,9
Dan Haren,1,harenda01,2009,NL,3.14,229.3,14,0.245,5.868,192,27,38,223,2,13,4,909,83,8,3
Dan Haren,1,harenda01,2008,NL,3.33,216.0,16,0.234,5.150,204,19,40,206,4,11,6,881,86,7,3
Roy Halladay,1,hallaro01,2008,AL,2.78,246.0,20,0.209,5.282,220,18,39,206,3,4,12,987,88,5,4
Aaron Harang,1,haranaa01,2007,NL,3.73,231.7,16,0.230,4.192,213,28,52,218,3,12,8,948,100,4,5
Roy Oswalt,1,oswalro01,2006,NL,2.98,220.7,15,0.185,4.368,220,18,38,166,4,1,6,896,76,12,4
Curt Schilling,1,schilcu01,2006,AL,3.97,204.0,15,0.219,6.536,220,28,28,183,1,1,3,834,90,5,2
Carlos Silva,1,silvaca01,2005,AL,3.44,188.3,9,0.095,7.889,212,25,9,71,2,0,3,749,83,2,5
Pedro Martinez,1,martipe02,2005,NL,2.82,217.0,15,0.247,4.426,159,19,47,208,3,4,4,843,69,9,2
Ben Sheets,1,sheetbe01,2004,NL,2.70,237.0,12,0.282,8.250,201,25,32,264,1,8,4,937,85,6,4
Curt Schilling,1,schilcu01,2004,AL,3.26,226.7,21,0.223,5.800,206,23,35,203,0,3,5,910,84,3,6
Curt Schilling,1,schilcu01,2003,NL,2.95,168.0,8,0.288,6.063,144,17,32,194,2,4,3,673,58,11,1
Pedro Martinez,1,martipe02,2002,AL,2.26,199.3,20,0.304,5.975,144,13,40,239,1,3,15,787,62,2,4
Curt Schilling,1,schilcu01,2002,NL,3.23,259.3,23,0.311,9.576,218,29,33,316,1,6,3,1017,95,5,2
Curt Schilling,1,schilcu01,2001,NL,2.98,256.7,22,0.287,7.513,237,37,39,293,0,4,1,1021,86,8,5
Brad Radke,1,radkebr01,2001,AL,3.94,226.0,15,0.149,5.269,235,24,26,137,0,4,10,919,105,10,6
Kevin Brown,1,brownke01,2000,NL,2.58,230.0,13,0.235,4.596,181,21,47,216,1,4,9,921,76,13,4
Shane Reynolds,1,reynosh01,1999,NL,3.85,231.7,16,0.205,5.324,250,23,37,197,0,4,1,963,108,0,0
