Johnny Cueto,1,cuetojo01,2014,NL,2.25,243.7,20,169,22,65,242,2,1,15,961,69,7,1
David Price,1,priceda01,2014,AL,3.26,248.3,15,230,25,38,271,1,2,5,1009,100,4,3
Yu Darvish,1,darviyu01,2013,AL,2.83,209.7,13,145,26,80,277,1,7,8,841,68,0,5
Justin Verlander,1,verlaju01,2012,AL,2.64,238.3,17,192,19,60,239,2,2,5,956,81,4,3
Tim Lincecum,1,linceti01,2010,NL,3.43,212.3,16,194,18,76,231,7,9,5,897,84,9,5
Jered Weaver,1,weaveje02,2010,AL,3.01,224.3,13,187,23,54,233,0,7,0,905,83,2,5
Justin Verlander,1,verlaju01,2009,AL,3.45,240.0,19,219,20,63,269,5,8,6,982,99,6,4
A. J. Burnett,1,burneaj01,2008,AL,4.07,221.3,18,211,19,86,231,2,11,9,957,109,8,5
Scott Kazmir,1,kazmisc01,2007,AL,3.48,206.7,13,196,18,89,239,1,10,7,887,91,6,3
Aaron Harang,1,haranaa01,2006,NL,3.76,234.3,16,242,28,56,216,8,6,8,993,109,21,8
Johan Santana,1,santajo01,2005,AL,2.87,231.7,16,180,22,45,238,1,8,1,910,77,6,2
Jake Peavy,1,peavyja01,2005,NL,2.88,203.0,13,162,18,50,216,3,3,7,812,70,4,5
Randy Johnson,1,johnsra05,2004,NL,2.60,245.7,16,177,18,44,290,1,3,10,964,88,7,5
Kerry Wood,1,woodke02,2003,NL,3.20,211.0,14,152,24,100,266,2,10,21,887,77,11,6
Esteban Loaiza,1,loaizes01,2003,AL,2.90,226.3,21,196,17,56,207,2,3,10,922,75,7,6
Pedro Martinez,1,martipe02,2002,AL,2.26,199.3,20,144,13,40,239,1,3,15,787,62,2,4
Hideo Nomo,1,nomohi01,2001,AL,4.50,198.0,13,171,26,96,220,2,6,3,849,105,4,7
Curt Schilling,1,schilcu01,1998,NL,3.25,268.7,15,236,23,61,300,3,12,6,1089,101,0,0
Curt Schilling,1,schilcu01,1997,NL,2.97,254.3,17,208,25,58,319,3,5,5,1009,96,0,0
Roger Clemens,1,clemero02,1996,AL,3.63,242.7,10,216,19,106,257,2,8,4,1032,106,0,0
Hideo Nomo,1,nomohi01,1995,NL,2.54,191.3,13,124,14,78,236,2,19,5,780,63,0,0
Randy Johnson,1,johnsra05,1994,AL,3.19,172.0,13,132,14,72,204,2,5,6,694,65,0,0
Andy Benes,1,benesan01,1994,NL,3.86,172.3,6,155,20,51,189,2,4,1,717,82,0,0
Randy Johnson,1,johnsra05,1993,AL,3.24,255.3,19,185,22,99,308,1,8,16,1043,97,0,0
Jose Rijo,1,rijojo01,1993,NL,2.48,257.3,14,218,19,62,227,2,0,2,1029,76,0,0
Randy Johnson,1,johnsra05,1992,AL,3.77,210.3,12,154,13,144,241,1,13,18,922,104,0,0
John Smoltz,1,smoltjo01,1992,NL,2.85,246.7,15,206,17,80,215,5,17,5,1021,90,0,0
David Cone,1,coneda01,1991,NL,3.29,232.7,14,204,13,73,241,2,17,5,966,95,0,0
David Cone,1,coneda01,1990,NL,3.23,211.7,14,177,21,65,233,1,10,1,860,84,0,0
Nolan Ryan,1,ryanno01,1990,AL,3.44,204.0,13,137,18,74,232,2,9,7,818,86,0,0
Nolan Ryan,1,ryanno01,1989,AL,3.20,239.3,16,162,17,98,301,3,19,9,988,96,0,0
Jose DeLeon,1,deleojo01,1989,NL,3.05,244.7,16,173,16,80,201,5,2,6,972,96,0,0
Roger Clemens,1,clemero02,1988,AL,2.93,264.0,18,217,17,62,291,4,4,6,1063,93,0,0
Nolan Ryan,1,ryanno01,1988,NL,3.52,220.0,12,186,18,87,228,6,10,7,930,98,0,0
