Jordan Zimmermann,1,zimmejo02,2013,NL,3.25,213.3,19,192,19,40,161,0,3,7,865,81,9,4
Gio Gonzalez,1,gonzagi01,2012,NL,2.89,199.3,21,149,9,76,207,3,10,5,822,69,9,7
CC Sabathia,1,sabatcc01,2010,AL,3.18,237.7,21,209,20,74,197,6,8,7,970,92,5,8
Felix Hernandez,1,hernafe02,2009,AL,2.49,238.7,19,200,15,71,217,0,17,8,977,81,6,11
Adam Wainwright,1,wainwad01,2009,NL,2.63,233.0,19,216,17,66,212,1,7,3,970,75,10,5
Brandon Webb,1,webbbr01,2008,NL,3.30,226.7,22,206,13,65,183,5,8,12,944,95,8,9
Josh Beckett,1,beckejo02,2007,AL,3.27,200.7,20,189,17,40,194,0,3,5,822,76,3,2
Brad Penny,1,pennybr01,2006,NL,4.33,189.0,16,206,19,54,148,4,6,9,813,94,8,3
Chien-Ming Wang,1,wangch01,2006,AL,3.63,218.0,19,233,12,52,76,4,6,2,900,92,3,2
Dontrelle Willis,1,willido03,2005,NL,2.63,236.3,22,213,11,55,170,3,2,8,960,79,14,5
Roy Oswalt,1,oswalro01,2004,NL,3.49,237.0,20,233,17,62,206,5,5,11,983,100,11,4
Curt Schilling,1,schilcu01,2004,AL,3.26,226.7,21,206,23,35,203,0,3,5,910,84,3,6
Russ Ortiz,1,ortizru01,2003,NL,3.81,212.3,21,177,17,102,149,7,5,4,912,101,6,7
Curt Schilling,1,schilcu01,2001,NL,2.98,256.7,22,237,37,39,293,0,4,1,1021,86,8,5
Mark Mulder,1,muldema01,2001,AL,3.45,229.3,21,214,16,51,153,4,4,5,927,92,8,3
Tom Glavine,1,glavito02,2000,NL,3.40,241.0,21,222,24,65,152,6,0,4,992,101,9,5
David Wells,1,wellsda01,2000,AL,4.11,229.7,20,266,23,31,166,0,9,8,972,115,6,7
Mike Hampton,1,hamptmi01,1999,NL,2.90,239.0,22,206,12,101,177,2,9,5,979,86,0,0
Rick Helling,1,helliri01,1998,AL,4.41,216.3,20,209,27,78,164,6,10,1,922,109,0,0
Denny Neagle,1,neaglde01,1997,NL,2.97,233.3,20,204,18,49,172,5,3,6,947,87,0,0
Andy Pettitte,1,pettian01,1996,AL,3.87,221.0,21,229,23,72,162,2,6,3,929,105,0,0
Mike Mussina,1,mussimi01,1995,AL,3.29,221.7,19,187,24,50,158,4,2,1,882,86,0,0
Jimmy Key,1,keyji01,1994,AL,3.27,168.0,17,177,10,52,97,0,8,3,710,68,0,0
John Burkett,1,burkejo03,1993,NL,3.65,231.7,22,224,18,40,145,4,1,11,942,100,0,0
Jack Morris,1,morrija02,1992,AL,4.04,240.7,21,222,18,80,132,2,9,10,1005,114,0,0
Bill Gullickson,1,gullibi01,1991,AL,3.90,226.3,20,256,22,44,91,13,4,4,954,109,0,0
Mike Scott,1,scottmi03,1989,NL,3.10,229.0,20,180,23,62,172,12,7,3,924,87,0,0
Danny Jackson,1,jacksda02,1988,NL,2.73,260.7,23,206,13,71,161,6,5,2,1034,86,0,0
Rick Sutcliffe,1,sutclri01,1987,NL,3.68,237.3,18,223,24,106,174,14,9,4,1012,106,0,0
Fernando Valenzuela,1,valenfe01,1986,NL,3.14,269.3,21,226,18,85,242,5,13,1,1102,104,0,0
Ron Guidry,1,guidrro01,1985,AL,3.27,259.0,22,243,28,42,143,3,3,0,1033,104,0,0
Mike Boddicker,1,boddimi01,1984,AL,2.79,261.3,20,218,23,81,128,1,6,5,1051,95,0,0
Joaquin Andujar,1,andujjo01,1984,NL,3.34,261.3,20,218,20,70,147,13,6,7,1052,104,0,0
LaMarr Hoyt,1,hoytla01,1982,AL,3.53,239.7,19,248,17,48,124,3,4,2,995,104,0,0
Dennis Martinez,1,martide01,1981,AL,3.32,179.0,14,173,10,62,88,1,6,2,753,84,0,0
Tom Seaver,1,seaveto01,1981,NL,2.54,166.3,14,120,10,66,87,8,5,3,671,51,0,0
Phil Niekro,1,niekrph01,1979,NL,3.39,342.0,21,311,41,113,208,8,18,11,1436,160,0,0
Dennis Leonard,1,leonade01,1977,AL,3.04,292.7,20,246,18,79,244,0,14,8,1186,117,0,0
Phil Niekro,1,niekrph01,1974,NL,2.38,302.3,20,249,19,88,195,3,6,6,1219,91,0,0
Fergie Jenkins,1,jenkife01,1974,AL,2.82,328.3,25,286,27,45,225,3,4,8,1305,117,0,0
Ron Bryant,1,bryanro01,1973,NL,3.53,270.0,24,240,23,115,143,12,8,9,1165,125,0,0
Wilbur Wood,1,woodwi01,1973,AL,3.46,359.3,24,381,25,91,199,3,7,7,1531,166,0,0
Mickey Lolich,1,lolicmi01,1971,AL,2.92,376.0,25,336,36,92,308,2,7,7,1538,133,0,0
Juan Marichal,1,maricju01,1968,NL,2.43,326.0,26,295,21,46,218,9,8,6,1307,106,0,0
